audience_freshness,poster_url,rt_audience_score,rt_freshness,rt_score,2015_inflation,adjusted,genres,genre_1,genre_2,genre_3,imdb_rating,length,rank_in_year,rating,release_date,studio,title,worldwide_gross,year
83,http://resizing.flixster.com/vUOEhpcoaWV4JU5YM2dnlgTRyFo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/02/11170263_ori.jpg,4.1,64,6.6,0.0284,1045906537.07,"Fantasy
Adventure",Fantasy,Adventure,,8,169,4,PG-13,14-Dec-12,Warner Bros. / MGM / New Line,The Hobbit: An Unexpected Journey,1017003568.00,2012
81,http://resizing.flixster.com/ojHrfHgQ7Z6zwJ9O0GlmvI_Y-6Y=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173667_ori.jpg,4.1,84,7.2,0.0284,710892844.47,"Sci-Fi
Adventure",Sci-Fi,Adventure,,7.3,142,9,PG-13,23-Mar-12,Lionsgate,The Hunger Games,691247768.00,2012
70,http://resizing.flixster.com/9zWAe7c1MPnVtaic66WXWomIkmI=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169337_ori.jpg,3.8,48,5.2,0.0284,853264813.24,"Fantasy
Drama
Adventure",Fantasy,Drama,Adventure,5.6,115,6,PG-13,16-Nov-12,Lionsgate / Summit,The Twilight Saga: Breaking Dawn - Part 2,829685377.00,2012
51,http://resizing.flixster.com/2EEq8Qjx4aMkNdwlLypKTtnT1X4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/64/11156447_ori.jpg,3.3,39,5.5,0.0497,587678383.43,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,6.3,106,10,G,24-Jun-11,Walt Disney Pictures / Pixar,Cars 2,559852396.00,2011
83,http://resizing.flixster.com/PzlJtyZZ_remAtYbrQ2_9t64B6k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/30/11173000_ori.jpg,4,78,6.4,0.0497,657258197.48,"Thriller
Crime
Action",Thriller,Crime,Action,7.3,131,7,PG-13,29-Apr-11,Universal,Fast Five,626137675.00,2011
89,http://resizing.flixster.com/jfPLvubmRh830uyxPTHQ1-hgj9I=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163675_ori.jpg,4.3,96,8.3,0.0497,1408187497.58,"Mystery
Fantasy
Adventure",Mystery,Fantasy,Adventure,8.1,130,1,PG-13,15-Jul-11,Warner Bros.,Harry Potter and the Deathly Hallows - Part 2,1341511219.00,2011
74,http://resizing.flixster.com/dJ62KC8VCmLwVq0045kP0a0RvEE=/173x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/66/11156693_ori.jpg,3.8,81,6.9,0.0497,698778760.90,"Animation
Adventure
Action",Animation,Adventure,Action,7.3,91,6,PG,26-May-11,Paramount / DreamWorks,Kung Fu Panda 2,665692281.00,2011
76,http://resizing.flixster.com/mkSB3etRkGB2js2wVcXWHBFXcag=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/91/11169152_ori.jpg,3.9,93,7.7,0.0497,729242277.12,"Thriller
Adventure
Action",Thriller,Adventure,Action,7.4,133,5,PG-13,21-Dec-11,Paramount,Mission: Impossible - Ghost Protocol,694713380.00,2011
54,http://resizing.flixster.com/ucRrnQabHP8_IXOYKx55D8YB_oU=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/67/11156760_ori.jpg,3.5,33,5.1,0.0497,1097688249.77,"Fantasy
Adventure
Action",Fantasy,Adventure,Action,6.7,136,3,PG-13,20-May-11,Walt Disney Pictures,Pirates of the Caribbean: On Stranger Tides,1045713802.00,2011
53,http://resizing.flixster.com/lOJRA6ho5TdqrP7tETMQp5vnFsM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163671_ori.jpg,3.4,34,5,0.0497,615927877.92,Comedy,Comedy,,,6.5,102,8,R,26-May-11,Warner Bros.,The Hangover Part II,586764305.00,2011
44,http://resizing.flixster.com/s5fZNIM3cQjt9AM6y_VC3jt1syc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/36/11163657_ori.jpg,3.1,22,4,0.0497,591768996.92,"Comedy
Animation
Adventure",Comedy,Animation,Adventure,5.5,103,9,PG,29-Jul-11,Columbia / Sony Pictures,The Smurfs,563749323.00,2011
94,http://resizing.flixster.com/l1HT4QSzRvdN4bcF0dsEpo3ywug=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169336_ori.jpg,4.5,0,0,0.0497,747568480.64,"Fantasy
Drama
Adventure",Fantasy,Drama,Adventure,4.9,117,4,PG-13,18-Nov-11,Summit,The Twilight Saga: Breaking Dawn - Part 1,712171856.00,2011
