country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ghana,,,,,,,,,,,,2340,2470,2630,2760,2820,2920,3010,3030,3210,3310,3380,3420,3290,3330,3550,3790,3950,4090,4270,4390,4640,4840,4970,5130,5250,5410,5540,5410,5640,5880,6000,5990,6020,6270,6430,6550,6520,6860,7050,
Greece,322,341,385,495,520,641,764,800,867,1040,1690,2090,2170,2330,2450,2930,3460,3620,3480,3760,3700,4420,5510,5950,6420,6930,7230,8050,8250,8860,9200,9040,8960,8980,9150,9300,9120,9560,9830,9530,9990,9970,10200,9910,10300,10300,10100,10200,9860,10100,9190
Guatemala,,,,,,,,,,,,1930,1980,2040,2100,2450,2600,2640,2660,2780,2580,2670,2880,2890,2820,2780,3050,3080,3150,3250,3390,3500,3620,3620,3610,3830,4240,4670,4970,5370,5240,5230,5410,5480,5440,5500,5430,5440,5390,6050,
Haiti,,,,,,,,,,,,1380,1430,1470,1520,1580,1620,1670,1740,1810,1880,1570,1590,1610,1620,1630,1220,1240,1270,1280,1250,1270,1350,1340,1370,1390,1600,1590,1630,1620,1540,1540,1730,1670,1650,1920,1970,2010,1990,1870,
Honduras,,,,,,,,,,,,1010,1040,1060,1090,1110,1140,1170,1210,1250,1320,1330,1370,1390,1410,1470,1480,1560,1600,1630,1690,1700,1700,1700,1670,1660,1700,1900,1900,1480,1520,1490,1550,1620,1670,1770,1980,2120,2080,2200,
Hungary,,,,,,10400,10400,10100,10700,11000,11800,11900,11800,12700,12700,12500,13500,14100,15400,14700,14500,14400,14900,15100,15600,16400,16100,16800,16400,16100,14600,14300,13900,13700,13300,13900,13600,13300,12500,11900,11600,11300,11200,10400,10200,10400,10300,10200,10500,11000,11000
Iceland,151,158,170,184,199,201,222,241,273,310,395,423,459,541,531,579,615,677,709,845,904,1100,1160,1230,1250,1250,1280,1320,1370,1410,1400,1440,1390,1490,1480,1570,1620,1680,1810,2190,2310,2450,2460,2460,2520,2640,3260,3950,4360,4400,4570
India,,,,,,,,,,,,142000,146000,149000,157000,166000,170000,174000,178000,181000,187000,200000,211000,222000,233000,239000,251000,259000,273000,282000,292000,302000,306000,310000,321000,336000,342000,353000,352000,359000,366000,375000,384000,396000,410000,422000,438000,453000,468000,503000,
Indonesia,,,,,,,,,,,,71700,81700,94900,97000,94300,106000,118000,120000,122000,126000,128000,115000,118000,135000,129000,137000,137000,140000,149000,169000,183000,188000,195000,208000,216000,225000,229000,231000,244000,236000,242000,248000,255000,265000,280000,314000,318000,324000,352000,
Iran,,,,,,,,,,,,239000,267000,310000,319000,285000,313000,301000,277000,172000,80800,79400,130000,133000,120000,123000,102000,129000,125000,160000,179000,196000,202000,215000,218000,224000,225000,226000,230000,257000,267000,260000,265000,295000,307000,318000,329000,345000,345000,350000,
Iraq,,,,,,,,,,,,86000,74600,103000,100000,115000,124000,120000,132000,178000,136000,45200,50900,49600,61200,73100,87300,109000,137000,148000,105000,16700,24000,27300,30200,31300,32700,65500,110000,131000,135000,134000,116000,80400,104000,97500,101000,105000,118000,120000,
Ireland,1380,1350,1350,1350,1370,1120,1260,1360,1710,1620,1420,1420,1370,1120,1310,1660,1410,1330,1120,1470,1890,2490,3030,3210,3630,2850,2640,3010,2870,3760,3470,3290,3080,3450,3560,4100,3540,2850,2460,2460,2160,1780,1540,1830,1860,1630,1600,1410,1520,1530,1950
Israel,,,,,,,,,,,,5940,6240,6150,4270,6580,88.1,77.9,74.4,85.8,154,150,78.9,68.1,56,282,341,362,380,391,424,438,458,502,516,548,557,584,600,601,642,673,708,739,1740,2110,2680,2900,3900,3270,3730
Italy,13800,14100,14100,14700,15900,16000,16700,17000,17600,18500,19900,19500,20100,20400,21200,21000,21700,20900,20900,20600,19900,20800,22600,21500,22600,22800,24800,24200,25500,25200,25300,26100,27300,28300,29500,29400,30300,30400,30300,29200,28200,26900,27500,27800,28400,27900,27400,26400,27000,27000,28800
Jamaica,,,,,,,,,,,,277,280,251,267,254,254,234,253,222,224,224,247,235,273,252,255,256,260,310,485,485,484,473,485,483,498,510,467,481,589,500,393,396,412,412,411,412,494,531,
Japan,47000,49900,48100,47200,48000,48100,48900,44900,44800,42300,39300,35800,32600,29500,30600,29900,33000,32000,36200,39400,43300,44500,51800,55200,59300,67100,68900,71700,69700,70500,75200,79200,80200,87700,90500,98600,102000,106000,109000,105000,106000,105000,96900,84100,95100,101000,101000,90600,88700,93800,95100
Jordan,,,,,,,,,,,,0.931,0.931,0.931,0.931,0.931,1.17,0.693,0.693,0.693,0.693,0.931,0.931,1.17,1.17,1.17,16.7,24.2,20,54,162,159,171,188,272,280,275,289,295,286,286,281,263,287,294,256,290,277,276,293,
